id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
4906796531,绝命毒师 第一季,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2886443948.jpg,2008-01-20(美国),https://movie.douban.com/subject/2373195/,9.2,"剧情,犯罪",5,什么年纪犯罪都不算太晚！,,2026-08-02 10:44:30,2008 / 美国 / 剧情 犯罪 / 亚当·伯恩斯坦 文斯·吉利根 翠西亚·布洛克 蒂姆·亨特 吉姆·麦凯 布朗温·休斯 / 布莱恩·克兰斯顿 亚伦·保尔
4893360093,钟表馆事件,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2927478219.jpg,2026-02-27(日本),https://movie.douban.com/subject/37168638/,7.6,"剧情,悬疑,犯罪",4,依然，这个犯罪也太耗费体力了,,2026-07-19 20:08:49,2026 / 日本 / 剧情 悬疑 犯罪 / 内片辉 山本大辅 / 奥智哉 青木崇高
4862159921,铁拳教育,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2933103931.jpg,2026-06-05(韩国),https://movie.douban.com/subject/37071123/,8.7,"剧情,动作",5,这年头爽就完事了呀！欢乐解气阿西，四人组让我笑出猪叫！！！,,2026-07-11 15:06:56,2026 / 韩国 / 剧情 动作 / 洪忠灿 / 金武烈 李星民
4844351355,消失的人,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2931601069.jpg,2026-05-01(中国大陆),https://movie.douban.com/subject/36965301/,7.4,"悬疑,惊悚,犯罪",,小孩刚消失的时候我就意识到我看过这个本子（剧版）！在重庆和重庆市民看在重庆拍的电影，好多场景都打卡过，纪念意义拉满～@重庆融创茂和水竹夫妇,,2026-05-17 15:22:24,2026 / 中国大陆 / 悬疑 惊悚 犯罪 / 程伟豪 / 郑恺 刘浩存
4793178040,挽救计划,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2930195706.jpg,2026-03-20(美国/中国大陆),https://movie.douban.com/subject/35010610/,0,"剧情,科幻,惊悚",4,猫好人坏,,2026-03-21 22:17:47,2026 / 美国 / 剧情 科幻 惊悚 / 菲尔·罗德 克里斯托弗·米勒 / 瑞恩·高斯林 桑德拉·惠勒
4749125898,呼啸山庄,,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2930238411.jpg,2026-03-13(中国大陆),https://movie.douban.com/subject/36963690/,0,"剧情,爱情",,,,2026-03-15 09:27:14,2026 / 英国 美国 / 剧情 爱情 / 埃默拉尔德·芬内尔 / 玛格特·罗比 雅各布·艾洛蒂
4791607138,非穷尽列举,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2930171065.jpg,2026-03-08(中国大陆),https://movie.douban.com/subject/37293378/,9.2,剧情,4,还是更喜欢这个舞美设计，有节奏变化。喜欢女主作为母亲/妻子/职业女性在生活场景下抖的包袱。关于要讨论的“同意”问题，其实没有得到更新鲜的见解。原来她叫裴淳华，舞台功底真的好强～,,2026-03-11 21:59:53,2025 / 英国 / 剧情 / 贾斯汀·马丁 / 裴淳华 杰米·格洛弗
2001069320,悠长假期,,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2162760408.jpg,1996-04-15(日本),https://movie.douban.com/subject/1436674/,9.3,"剧情,喜剧,爱情",5,不要太逞强了，坦率一点，会幸福的～在悠长假期里看完了悠长假期，人到中年还能拥有亮亮的眼睛，这样的人注定很难平凡：）,,2026-03-02 19:27:12,1996 / 日本 / 剧情 喜剧 爱情 家庭 / 永山耕三 铃木雅之 臼井裕词 / 木村拓哉 山口智子
4783295171,梦幻情侣,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2214303895.jpg,2006-10-14(韩国),https://movie.douban.com/subject/2024900/,8.4,"喜剧,爱情",5,这剧太欢乐了！朋友推荐我看，说女主一直在说“我要吃炸酱面”，男主像个野人，那剧你看过没，我说没有。原来就是这一部哈哈哈，奇怪，这剧我小时候咋没看过？把炸酱面换成油泼裤带面或重庆小面的话我也会吃得很香～,,2026-03-01 10:44:47,2006 / 韩国 / 喜剧 爱情 / 金尚昊 / 韩艺瑟 吴智昊
4772359726,爱情怎么翻译？,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2928736672.jpg,2026-01-16(韩国),https://movie.douban.com/subject/36363991/,8.4,"剧情,爱情",,这剧我打开三次，三次都没看下去🫨,,2026-02-17 23:25:41,2026 / 韩国 / 剧情 爱情 / 刘英恩 / 金宣虎 高允贞
4758914394,骄阳似我,,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2928224516.jpg,2025-12-22(中国大陆),https://movie.douban.com/subject/35559998/,7.4,"剧情,爱情",4,很日常生活、甜甜的，我嘴角疯狂上扬,,2026-02-01 14:00:03,2025 / 中国大陆 / 剧情 爱情 / 陈宙飞 / 宋威龙 赵今麦
4694312407,都是她的错,,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2926850312.jpg,2025-11-06(美国),https://movie.douban.com/subject/36778966/,9.2,"剧情,悬疑",3,就，有那么好看吗…感到无聊😅,,2025-11-29 16:38:58,2025 / 美国 澳大利亚 / 剧情 悬疑 / 明基·斯皮罗 / 莎拉·斯努克 达科塔·范宁
